type,name,label::english,label::rohingya,hint::english,hint::rohingya,calculation,required,relevant,constraint,constraint_message::english,constraint_message::rohingya,appearance,repeat_count,media::image::english,media::image::rohingya,choice_filter
select_one yes_no,respondent_hoh,Is the respondent the head of the household?,?????? ??? ??? ??? ???,,,,true,,,,,,,,,
select_one gender,hoh_gender,[If no] What is the gender of the head of the household?,[??? '??'] ??? ??? ?? ??? ?? ????- ??????,,,,true,"selected(${respondent_hoh},'no')",,,,,,,,
integer,hoh_age,[If no] What is the age of the head of the household?,??? ???? ??? ???????,,,,true,"selected(${respondent_hoh},'no')",. >=0 and . <=100,,,,,,,
select_one marital_status,hoh_marital,What is the marital status of the head of household?,??? ??? ???? ?????? ???,,,,true,,,,,,,,,
integer,hh_size,"Including yourself, how many people live in this household?","??? ????? ????, ? ??? ????? ??? ?????",,,,true,,. >=0 and . <=20,,,,,,,
integer,snfi_rooms,How many rooms does your shelter have?,??? ??? ??????/???  ???? ????,,,,true,,. >=0 and . <=10,,,,,,,
date,datearrival_bgd,When did (most members of) your household arrive to Bangladesh?,???? ??? ??????????/??? ???????? ????? ???????? ?????? ???????,"If they  don’t remember month and jist say 2017 or 2018, ask them if they arrived before Eid or after Eid. If they say before Eid, enter March as the month and if they say after Eid, enter September as the month.","??? ???? ??? ??? ???? ?? ???? ????? ???? ?? ???? ????? ??? ????,??????? ???? ???? ?? ???? ??? ?? ???? ??? ?????? ?????  ??? ???? ???? ??? ??? ????? ??? ?????? ????? ????? ??? ??? ???? ???? ??? ??? ????? ?????????? ??? ??????",,true,,"date(.) >= date('1970-01-01') and date(.) <=
today()",,,month-year,,,,
date,datearrival_shelter,When did (most members of) your household arrive to this shelter?,???? ??? ??????????/??? ???????? ????? ? ?? ????? ?????? ???????,"If they  don’t remember month and jist say 2017 or 2018, ask them if they arrived before Eid or after Eid. If they say before Eid, enter March as the month and if they say after Eid, enter September as the month.","??? ???? ??? ??? ???? ?? ???? ????? ???? ?? ???? ????? ??? ????,??????? ???? ???? ?? ???? ??? ?? ???? ??? ?????? ?????  ??? ???? ???? ??? ??? ????? ??? ?????? ????? ????? ??? ??? ???? ???? ??? ??? ????? ?????????? ??? ??????",,true,,date(.) >= ${datearrival_bgd} and date(.) <= today(),,,month-year,,,,
select_one highest_grade,edu_highest,What is the highest grade of education anyone in this household has completed?,? ??? ????? ??? ??????????????? ???? ??????? ?'????? ???????,,,,true,,,,,,,,,
text,edu_highest_other,Specify other.,????? ???,,,,true,"selected(${edu_highest},'other')",,,,,,,,
select_multiple language,language,What language(s) do members of your household speak or understand?,??? ??? ?????? ?? ?????? ??? ?? ?? ?????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,"not((selected(., 'dntknow_no_answer') or selected(., 'no_response')) and count-selected(.) >=2)",,,,,,,
text,language_other,Specify other.,????? ???,,,,true,"selected(${language},'other')",,,,,,,,
end_group,,,,,,,,,,,,,,,,
begin_group,individual_information,Individual Information,,,,,,,,,,,,,,
note,repeat_introduction,"I would now like to ask you some questions about the individuals living in this household, including yourself. I will ask some questions about each person, starting with the youngest.","??? ?????? ??? ????? ???? ? ??? ?????? ?????? ?????? ???? ???? ?????? ????? ???? . ?????? ????? ??? ?????? ?????? ???????, ??????? ??????????? ??? ???? ?????",,,,,,,,,,,,,
begin_repeat,inividual_info,Individual Information of Household Members,??? ?????? ????????? ????????? ???? ???,,,,,,,,,,${hh_size},,,
integer,ind_age,Age of individual,???? ???,"If the individual is under 1 year old, write ""0""","??? ????? ??? ? ???????? ?? ?? ???? ""?"" ????",,true,,.<=99,,,,,,,
calculate,under2_HH,,,,,"if((${ind_age} <=2), 1, 0)",,,,,,,,,,
calculate,under5_HH,,,,,"if((${ind_age} <5), 1, 0)",,,,,,,,,,
calculate,over_5_HH,,,,,"if((${ind_age} >=5), 1, 0)",,,,,,,,,,
calculate,under_18_HH,,,,,"if((${ind_age} <=17), 1, 0)",,,,,,,,,,
calculate,over_18_HH,,,,,"if((${ind_age} >=18), 1, 0)",,,,,,,,,,
integer,ind_age_mo,How many months old is this child?,? ????-??? ?'????????,,,,true,${ind_age}=0,.<=11,,,,,,,
select_one gender,ind_gender,Gender of individual,??? ??? ?? ????- ??????,,,,true,,,,,,,,,
calculate,num_female_reprod,,,,,"if((${ind_age} > 12 and ${ind_gender} = 'female'), 1, 0)",,,,,,,,,,
select_one ynd,ind_new_hh_member,[if aged 6 months to 17 years of age] Has this person joined your household since arrival to Bangladesh?,[??? ??? ?’??? ???? ???? ??? ?? ????]? ???????? ????????? ?? ???? ???? ??? ??? ??? ??? ???,excluding children who were born into the household,????????? ???? ???? ??? ????,,true,${ind_age} <=17,,,,,,,,
select_one relationship,ind_relationship,What is the relationship of this person to the head of household?,?? ???????? ??? ???? ????????? ??????,,,,true,"selected(${ind_new_hh_member},'yes')",,,,,,,,
select_one child_birthplace,ind_birth_place,INDIVIDUAL LEVEL CHILDREN < 1 YEAR OF AGE: Where was this child born?,? ????-?????? ??? ????,,,,true,${ind_age} =0,,,,,,,,
text,ind_birth_place_other,Specify other.,????? ???,,,,true,"selected(${ind_birth_place},'other')",,,,,,,,
select_one breastfeeding,ind_breastfed,INDIVIDUAL AGED 0 - 2: How long after birth was this child put to the breast?,??? ?? ???? ???? ??? ????? ??? ?????????,,,,true,${ind_age} <=2,,,,,,,,
select_multiple nut_program,ind_nutrition_program,INDIVIDUAL AGED 6 to 59 months: Is this child currently enrolled in any nutrition-feeding program?,"?????????????, ????? ??? ?' ???? ?????? ?? ????? ? ?' ????? ????? ? ???? ?????? ?? ??????????’? ?? ?? ??? ???",Read options out loud,???????? ??? ????,,,(${ind_age} <5 and ${ind_age} >=1) or ${ind_age_mo}  >=6,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,NutritionProgram.png,NutritionProgram.png,
select_one ynd,ind_help_daily,"INDIVIDUAL AGED 5 and more  : Does this individual regularly require another person to help him/her complete daily activities (such as eating, dressing, bathing, going to the toilet).","(?????????????, ????? ??? ??? ???? ??????? ??? ?????/ ???? ????) ??????? ?????? ?????? ????? ????? ? ?? ?????/????? ?????? ???? ?????? ???????? ( ?????- ???? ??, ?? ??? ????, ?? ????, ???????? ??)? ??? '?' ????, ???????? (????? ???? ????? ????)",,,,true,${ind_age} >=5,,,,,,,,
calculate,ind_help_daily_number,,,,,"if(selected(${ind_help_daily},'yes'),1,0)",,,,,,,,,,
select_multiple why_caregiver,ind_help_daily_reason,"If yes, what is the reason:","?'?? ?? ????,  ?????????",Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${ind_help_daily},'yes')",,,,,,,,
text,ind_help_daily_reason_other,Specify other.,????? ???,,,,true,"selected(${ind_help_daily_reason},'other')",,,,,,,,
select_one ynd,ind_work,"[For individuals 5+ years old] During the past 30 days, has this person done any work to earn an income?",[ ????????????? ????? ??? ??? ???? ?'???] ?? ????? ?? (??-????-??) ???? ????? ? ?????????? ????? ?????????? ?? ?????? ?????? ???,"Guidance: explain that income can be cash, goods, or in payment of a debt","?????? ??????? ?????? ??? ??? ????????, ???????? ?????? ??????? ???? ??? ????",,true,${ind_age} >=5,,,,,,,,
select_multiple hazardous_labor,ind_work_hazardous,[If working and individual is under 18] Did their work involve any of the following situations?,??? ????? ???? ???? ???? ??? ???] ?????? ???? ???? ??????? ??????? ???,"Read options out loud, select if ""yes""","???????? ??? ????, ?'?? ?'? ??",,true,"${ind_age} <=18 and selected(${ind_work},'yes')","not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
select_one ynd,ind_illness,"During the past 4 weeks, has this person had an illness serious enough to require medical treatment?",????? ???? ?????? ? ?????????????? ???? ??? ????? ?? ?? ??????? ??? ???,,,,true,,,,,,,,,
calculate,ind_need_treatment,,,,,"if(selected(${ind_illness},'yes'),1,0)",,,,,,,,,,
select_one ynd,treatment_sought,[If yes] Did this person seek treatment for this illness?,[??? ?'? ??] ? ??????????? ? ?????????? ????? ????????? ???,,,,true,"selected(${ind_illness},'yes')",,,,,,,,
select_multiple clinics,treatment_location,[If yes] Where did they seek treatment?,[??? ?'? ??]?????? ????? ?????? ??? ????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${treatment_sought},'yes')","not((selected(., 'dntknow_no_answer')) and count-selected(.) >=2)",,,,,,,
text,treatment_location_other,Specify other.,????? ???,,,,true,"selected(${treatment_location},'other')",,,,,,,,
select_multiple no_treatment,ind_why_notreatment,[If no] Why not?,[??? ?' ?] ???????? ?' ?,select upto three,???????? ?????  ???????? ?????,,true,"selected(${treatment_sought},'no')","count-selected(.) <=3 and not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
text,ind_why_notreatment_other,Specify other.,????? ???,,,,true,"selected(${ind_why_notreatment},'other')",,,,,,,,
select_one cigarette,ind_smoke,Does this person smoke cigarettes?,? ??????????? ???? ?? ???,,,,true,${ind_age} >=12,,,,,,,,
select_one ynd,ind_smoke_before,"If yes, did this person also smoke before coming to Bangladesh?","?????, ????????? ????? ???? ???? ???",,,,true,"${ind_age} >=12 and not(selected(${ind_smoke},'not_at_all'))",,,,,,,,
select_one ynd,ind_ed_TLC,"In the past 30 days, has this child/person attended a non-religious learning centre run by an NGO or the government at least 4 days a week?",????? ?? ???? ? ????-???/??????????? ????? ????? ???? ????? ????? ????? ?????????? ????? ?????? ?????? ????? ?????? ??????? ?????? ???? ??? ???? ???,,,,true,${ind_age} >=3 and ${ind_age} <=24,,,,,,,,
calculate,ind_formal_learning_number,,,,,"if(selected(${ind_ed_TLC},'yes'), 1, 0)",,,,,,,,,,
calculate,ind_formal_notattend_number,,,,,"if(selected(${ind_ed_TLC},'no'), 1, 0)",,,,,,,,,,
select_one ynd,ind_ed_madrassa,"In the past 30 days, has this child/person attended a Madrassah for learning religious topics?",????? ?? ???? ? ????-???/??????????? ????? ????? ???????? ???????? ???? ???,,,,true,${ind_age} >=3 and ${ind_age} <=24,,,,,,,,
select_one ynd,ind_ed_nonformal,"In the past 30 days, has this child/person attended any other types of learning for non-religious topics led by an NGO, such as at-home tutoring?","????? ?? ???? ? ????-???/???????????  ???? ????? ???? ????? ???? ????????? ????? ?? ?????? ; 
?????- ??? ???????/??? ???? ????? ?????? ?????? ??? ????? ???- ??? ?????? ??? ???","NGO-led programs (at home, at other houses, at madrassa) = YES, while other private non-NGO programs = NO","?????? ????? ?????????? (??? ??????, ????? ??? ??????, ???? ?????)= ?' ? ????, ????? ??? ????? ??'??, ????? ???? ????????? = ?' ?",,true,${ind_age} >=3 and ${ind_age} <=24,,,,,,,,
end_repeat,,,,,,,,,,,,,,,,
calculate,female_reprodage_count,,,,,sum(${num_female_reprod}),,,,,,,,,,
calculate,illness_HH_count,,,,,sum(${ind_need_treatment}),,,,,,,,,,
calculate,under2_HH_count,,,,,sum(${under2_HH}),,,,,,,,,,
calculate,under5_HH_count,,,,,sum(${under5_HH}),,,,,,,,,,
calculate,over_5_HH_count,,,,,sum(${over_5_HH}),,,,,,,,,,
calculate,under_18_HH_count,,,,,sum(${under_18_HH}),,,,,,,,,,
calculate,over_18_HH_count,,,,,sum(${over_18_HH}),,,,,,,,,,
calculate,ind_help_daily_count,,,,,sum(${ind_help_daily_number}),,,,,,,,,,
calculate,formal_school_count,,,,,sum(${ind_formal_learning_number}),,,,,,,,,,
calculate,formal_school_NOT_count,,,,,sum(${ind_formal_notattend_number}),,,,,,,,,,
end_group,,,,,,,,,,,,,,,,
begin_group,Shelter_NFI,Shelter/NFI,,,,,,,,,,,,,,
select_multiple shelter_issues,shelter_issues,In the past 6 months did you face any issues with your shelter?,????? ?? ???? ??? ??? ?????? ?????? ?? ????? ??? ???,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,"count-selected(.) <=3 and not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
select_multiple shelter_improvement,improvement,"In the past 6 months, have you made any improvements to your shelter?",????? ?’? ???? ??? ??? ??????  ?????? ?? ???? ???? ??????? ??/ ?????????? ?? ??????/ ???????? ???,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,"not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
text,improvement_other,Specify other.,????? ???,,,,true,"selected(${improvement},'other')",,,,,,,,
select_one improvement_reason,improvement_reason,(if none) What was the main reason for making no improvements?,(??? ???? ?’ ?) ??????????? ?? ?’????? ?? ??/??'? ??'? ???? ???,,,,true,"selected(${improvement},'none ')","count-selected(.) <=3 and not((selected(., 'no_need')) and count-selected(.) >=2)",,,,,,,
select_one ynd,shelter_purchased,(If yes) Did you purchase shelter material (or exchange other goods) to make these improvements?,( ??? ?' ? ????) ?? ???????? ??? ??? ????????? ?? ???????? ?? ???? ????? ??????? ????? ???/??????? ???,,,,true,"not(selected(${improvement},'none '))",,,,,,,,
select_multiple shelter_purchased,shelter_purchased_material,(If yes) What did you purchase?,[??? ?'? ??] ??? ?? ?? ???????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${shelter_purchased},'yes')",,,,,,,,
select_one shelter_repair_reason,shelter_purchased_reason,Why did you purchace shelter material?,??????? ??? ??? ????????? ???????,,,,true,"selected(${shelter_purchased},'yes')",,,,,,,,
select_multiple shelter_physicalaccess,shelter_physical_access,"Do members of your household especially elderly, children or pregnant women (if any) face any physical challenges accessing your shelter?","??? ??? ?????? ?????? ???? ?????, ????-????? ?? ????? ????-?????????? (??? ????) ??? ??? ????-????? ??'?/???? ?? ????? ????",Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,"not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
text,shelter_physical_access_other,Specify other.,????? ???,,,,true,"selected(${shelter_physical_access},'other')",,,,,,,,
select_one ynd,shelter_paid,"In the past 6 months, Have you paid money or goods to anyone to live in your current shelter?","?’??? ??? ???????, ? ??? ????????? ??????? ?????? ????????? ????? ?? ?????????? ????? ??? ???","if  household moved to shelter within 6 months, only ask about current shelter","?????? ?'?? ??? ???? ????? ?' ???? ????? ????? ???? ?????? ??????? ?? ?? ??' ??? ?? ??, ???? ????????? ?? ???? ?? ????? ??????",,true,,,,,,,,,
note,NFI_own,How many of the following items does your household own:,??? ??? ???? ???????? ???? ????,,,,,,,,,,,,,
integer,portable_light,portable lamps (functioning),"?? ??????????? ?? ????/ ???????/ ????? ,",,,,true,,.<=20,,,,,,,
integer,blanket,Blanket,?? ?????,,,,true,,.<=20,,,,,,,
integer,floormat,Floor mat,?? ????,,,,true,,.<=20,,,,,,,
select_multiple fuel,cooking_fuel,"In the past four weeks, which types of fuel has your family used for cooking?",????? ???? ?????? ?????????? ??? ??? ????????? ???????? ???????? ???????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,,,,,,,,
text,cooking_fuel_other,Specify other.,????? ???,,,,true,"selected(${cooking_fuel},'other')",,,,,,,,
select_multiple firewood_access,wood_access,[if Firewood (self-collected)] Who in the household spends most time collection firewood?,[??? ??????? (???? ??? ?? ????)]? ??? ???????? ???? ??????? ??? ????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${cooking_fuel},'collected_firewood')",,,,,,,,
end_group,Shelter_NFI,,,,,,,,,,,,,,,
begin_group,Education,Education,,,,,,,,,,,,,,
select_one ynd,parent_committee,[if yes to any individuals regularly attending TLCs] Has a caregiver from this household ever spoken to a teacher at this learning center about this child's education?,(??? ??????? ??????? ???????  ?? ?? ?? ??????) ? ??? ?? ??????????? ? ?????? ????-???????? ?????? ?????? ????? ?? ??????? ????????? ??? ???,,,,true,${formal_school_count}>0,,,,,,,,
select_multiple edu_barrier,education_barrier,"[If at least one person aged 3-24 not attending], You reported previously that at least one of your school aged children was not enrolled or attending school at all or most of the time. What are the main reasons children (3-24) do not regularly attend TLCs?","[??? ?????? ???? ????????? ??? ??? ????? ???? ???? ????? ?' ????]??? ??? ?????? ?????? ??, ???? ?????? ??????? ?????? ???? ?’? ???? 
????? ??? ??????’? ?’? ?????? ???, ?? ??/??? ???? ?? ?? ??? ???? ?????? (???’?? ???? ???? ????’??) ?????",select upto three,???????? ?????  ???????? ?????,,true,${formal_school_NOT_count}>0,"count-selected(.) <=3 and not((selected(., 'dntknow_no_answer')) and count-selected(.) >=2)",,,,,,,
text,education_barrier_other,Specify other.,????? ???,,,,true,"selected(${education_barrier},'other')",,,,,,,,
end_group,Education,,,,,,,,,,,,,,,
begin_group,Health,Health,,,,,,,,,,,,,,
select_one ynd,comm_health_worker,"In the past two weeks, has this household received a visit from a community health worker?",????? ??? ?????? ? ??? ?????? ???????? ??????? ??????? ???,,,,true,,,,,,,,,
select_one ynd,disability_support,"You mentioned that at least one household member needs help to complete daily activities. Has this person been able to access treatment or support for this disability, or illness?","??? ?????? , ?????? ??? ??’?? ?????? ??? ???? ?????????? ??????? ????????
???????? ????????? ? ??????????? ? ??'????????  ?????? ???????? ????? ??? ??????? ???",,,,true,${ind_help_daily_count} >0,,,,,,,,
select_multiple health_cm,health_coping,During the last 30 days did your household have to undertake one of the following activities when a member of the household was seriously ill?,????? ?? ???? ??? ??? ?????? ????????? ???? ??????? ????? ??? ???? ??? ???? ??????? ?? ?????? ??? ?????? ???,"Read options out loud, select if ""yes""","???????? ??? ????, ?'?? ?'? ??",,true,${illness_HH_count} >0,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
integer,under5_diarrhea,"[If children under 5], how many children under 5 have suffered from diarrhoea in the last two weeks?","[??? ??? ???? ???????? ????,] ????? ??? ?????? ???? ???? ???? ??????? ??-?????? ????",Diarrhea: three or more loose or liquid stools in a day.,??-??????? ???? ?????? ??-?????? ????,,true,${under5_HH_count} >0,. <=${under5_HH_count},,,,,,,
integer,over5_diarrhea,"How many household members over 5, including yourself, have suffered from diarrhoea in the last two weeks?",????? ??? ?????? ??? ????? ???? ???? ???? ???? ??????? ??-?????? ????,,,,true,${over_5_HH_count} >0,. <=${over_5_HH_count},,,,,,,
select_one birth_decision,birthplace_decision,"If a women within the household is pregnant, who decides on where a pregnant women gives birth (e.g. in the facility vs home)?","??? ?? ??? ????? ????, ???? ??? (?????- ???????????/???) ????? ???? ???? ??? ??????? ????",,,,true,,,,,,,,,
text,birthplace_decision_other,Specify other.,????? ???,,,,true,"selected(${birthplace_decision},'other')",,,,,,,,
select_one yes_no,pregnant_woman,Are there any women pregnant in this household?,? ??? ?? ????-????? ????? ??? ???,,,,true,${female_reprodage_count} >0,,,,,,,,
integer,pregnant_women_anc,"If yes, how many are currently enrolled in an ANC programme?","??? ??'?? , ???? ??? ????? ????? ??? ????? ????? ??? ??? ???? ?????",DEFINITION OF ANC,ANC: ????? ???? ?? ????? ??? ?? ?????? ?????????,,true,"selected(${pregnant_woman},'yes')",.<=${female_reprodage_count},,,,,,,
select_one ynd,anc_card,"If yes, did they receive a card?","[??? ?'? ??], ?????? ??'? ???? ???",,,,true,${pregnant_women_anc} >0,,,,,,,,
end_group,Health,,,,,,,,,,,,,,,
begin_group,Nutrition,Nutrition,,,,,,,,,,,,,,
select_one ynd,breastfeeding_women,Are there any mothers in this household with a child aged 0 to 2 years?,? ??? ?? ???? ?? ??? ?? ??? ???? ????? ??? ???? ???? ??? ???????,,,,true,${under2_HH_count} >0,,,,,,,,
select_one IYCF,IYCF_support,Have any of them received support on feeding young children (message/information/referral) at home or a facility?,"???? ????????? ??? ?????’?????? ????? ??? ??? ?????’?? (??? ???? ????,???, ????? ????) ??? ???? ????? ??? ?? ??’?? ???",,,,true,"selected(${breastfeeding_women},'yes')",,,,,,,,
select_one ynd,donation,"In the past four weeks, has your household received a donation of breast milk substitute/infant formula or baby bottles?",????? ???? ?????? ??? ??? ????-????????? ?????? ???? ???? ??? ???? ???,,,,true,${under5_HH_count} >0,,,,,,,,
select_multiple organisation,donation_org,Which organization provided your household with this donation?,?? ?????'?? ??? ???????,"If household says ""friends and family"", ask if they know original source . Select as many as apply","??? ??? ?????? ?? ??????????? ?? ??? ?????"", ????? ??? ??? ??????? ?? ?????? ???? I ?????? ???????? ???????? ????",,true,"selected(${donation},'yes')","not((selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
text,donation_org_other,Specify other.,????? ???,,,,true,"selected(${donation_org},'other')",,,,,,,,
select_multiple use_donation,use_donation,How have you used this donation?,??’? ???? ????????? ???? ??? ??? ?????? ???????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${donation},'yes')","not((selected(., 'not_used')) and count-selected(.) >=2)",,,,,,,
end_group,Nutrition,,,,,,,,,,,,,,,
begin_group,Food_security_Livelihood,Food security/Livelihood,,,,,,,,,,,,,,
begin_group,FSC,food consumption,,,,,,,,,,field-list,,,,
note,food_list,"Over the past 7 days, on how many days did you consume the following food?",????? ?? ?????? ??? ???? ??????? ?'??? ?????,Read out,???? ?????,,,,,,,,,,,
integer,cereals_tubers,"Cereals and tubers (rice, wheat, potato)","????? ???? (???, ???, ????)",,,,true,,. >=0 and . <=7,,,,,,,
integer,pulses_nuts_seeds,"Pulses, nuts and seeds (lentils- kesari, masoor)","????/????’? ????? (???? ????, ???,???????, ???? ???, ??????? ????, ????, ???? ???? ??’??/ ??????? ?????)",,,,true,,. >=0 and . <=7,,,,,,,
integer,vegetables,"Vegetables (tomatoes, bitter gourd, beans, okra)","???- ???? - (?????, ???? ???, ???????)",,,,true,,. >=0 and . <=7,,,,,,,
integer,fruits,"Fruits (apples, oranges, banana etc)","???? ?? ( ????, ???, ????, ????? ???)",,,,true,,. >=0 and . <=7,,,,,,,
integer,dairy,"Milk and dairy products (milk, curd)","??? ?? ??? ????? ???? ( ???? ???, ????? ???, ??, ????, ????? ??? ????? ( ???????/ ????? ??? ???? ??/??? ??? ?????)",,,,true,,. >=0 and . <=7,,,,,,,
integer,meat_fish,"Meat or fish (eggs, chicken,goat, beef, sea food)","????? ???? ??? ( ???, ????, ??? ?????,   ???)",,,,true,,. >=0 and . <=7,,,,,,,
integer,oil_fats,Oil and fats,??? ?? ???,,,,true,,. >=0 and . <=7,,,,,,,
integer,sweets,"Sweets (sugar, jaggery)","???? ( ????, ???? ????)",,,,true,,. >=0 and . <=7,,,,,,,
integer,spices_condiments,"Spices and condiments (tea, salt, coffee, fish powder)","???  ?? ?????? ( ??, ???, ??? ,  ????? ???",,,,true,,. >=0 and . <=7,,,,,,,
end_group,,food consumption,,,,,,,,,,,,,,
select_multiple food_source,food_source,What were the three main source of food in the past 7 days?,???? ?? ??????? ??? ???’?? ???? ?????  ?????? ?,select upto three,???????? ?????  ???????? ?????,,true,,count-selected(.) <=3,Select upto 3,,,,,,
text,food_source_other,Specify other.,????? ???,,,,true,"selected(${food_source},'other')",,,,,,,,
select_multiple income_source,income_source,"In the last 30 days, what have been the main sources of income that has sustained your household? (select all that apply)",????? ?? ???? ?? ????????? ??? ??? ??????? ?'?'?? ??????? ???'?? ?,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,,,,,,,,
text,income_source_other,Specify other.,????? ???,,,,true,"selected(${income_source},'other')",,,,,,,,
select_multiple employment,employment_source,(if labor as income source) What were the main sources of employment?,(??? ????? ???????? ????) ?????? ?? ??????? ??????????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${income_source},'employment')",,,,,,,,
begin_group,expenses,expenses,,,,,,,,,,,,,,
note,past_30_days_spend,In the past 30 days did your household spend money on any of the following items or services?,????? ?? ???? ??? ??? ???? ????? ?????? ????? ?????? ???????? ??????? ?????? ??? ???,,,,,,,,,,,,,
select_one expense,exp_medical,"1. Medical expenses, health care, medicine","??????????? ??? , ???????? ?????, ?????",,,,true,,,,,,,,,
select_one expense,exp_clothing,"2. Clothing, shoes","??, ????",,,,true,,,,,,,,,
select_one expense,exp_bamboo,3. Bamboo,????,,,,true,,,,,,,,,
